sample_id,source_key,page_number,reference_chars,raw_chars,cleaned_chars,raw_edit_distance,cleaned_edit_distance,raw_cer,cleaned_cer,delta_cleaned_minus_raw_cer,source_key_normalised,source_id,archived_source_file,extraction_included_bool,bibliographic_identity_status,crosswalk_matched,corpus_extraction_included
OCR-0039,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,572,76,113,76,38,0.0,0.5,0.0,-0.5,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,SF44,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0040,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,853,44,57,45,13,1.0,0.2954545454545454,0.0227272727272727,-0.2727272727272727,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本,SF44,备急千金要方.三十卷.唐.孙思邈撰.清光绪四年长洲黄学熙刊江户医学据北宋本影刻本.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0044,太平圣惠方(1)/18太平圣惠方,78,52,64,0,12,,0.2307692307692307,,,太平圣惠方(1)/18太平圣惠方,,,,,False,False
OCR-0045,太平圣惠方(1)/19太平圣惠方,35,72,87,0,15,,0.2083333333333333,,,太平圣惠方(1)/19太平圣惠方,,,,,False,False
OCR-0049,太平圣惠方(1)/31太平圣惠方,16,70,85,0,15,,0.2142857142857142,,,太平圣惠方(1)/31太平圣惠方,,,,,False,False
OCR-0050,太平圣惠方(1)/36太平圣惠方,42,130,141,0,13,,0.1,,,太平圣惠方(1)/36太平圣惠方,,,,,False,False
OCR-0052,太平圣惠方(1)/43太平圣惠方,55,81,89,0,9,,0.1111111111111111,,,太平圣惠方(1)/43太平圣惠方,,,,,False,False
OCR-0053,太平圣惠方(1)/46太平圣惠方,27,107,122,0,17,,0.1588785046728972,,,太平圣惠方(1)/46太平圣惠方,,,,,False,False
OCR-0054,太平圣惠方(1)/4太平圣惠方,46,101,115,0,14,,0.1386138613861386,,,太平圣惠方(1)/4太平圣惠方,,,,,False,False
OCR-0055,太平圣惠方(1)/8太平圣惠方,4,110,120,0,10,,0.0909090909090909,,,太平圣惠方(1)/8太平圣惠方,,,,,False,False
OCR-0056,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767,371,319,346,319,51,0.0,0.1598746081504702,0.0,-0.1598746081504702,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767,SF47,本草求真 清·黄宫绣 篡 席与民 朱肇和 点校 1987年_10461767.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0057,随园食单（全本全注全译）中华书局2022,199,401,276,401,165,0.0,0.4114713216957606,0.0,-0.4114713216957606,随园食单（全本全注全译）中华书局2022,SF48,随园食单（全本全注全译）中华书局2022.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0058,随息居/中医古籍整理丛书--110随息居饮食谱-[清]王士雄,66,720,720,0,30,,0.0416666666666666,,,随息居/中医古籍整理丛书--110随息居饮食谱-[清]王士雄,SF49,随息居/中医古籍整理丛书--110随息居饮食谱-[清]王士雄.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0059,食物本草_14051796,29,528,527,528,67,0.0,0.1268939393939394,0.0,-0.1268939393939394,食物本草_14051796,SF52,食物本草_14051796.txt,True,title-bearing filename; authority record not archived,True,True
OCR-0060,食鉴本草_14274304,8,229,236,229,34,26.0,0.148471615720524,0.1135371179039301,-0.0349344978165939,食鉴本草_14274304,SF53,食鉴本草_14274304.txt,True,title-bearing filename; authority record not archived,True,True
